act,floor,map_point_type,room_model_ids,room_types,monster_ids,hp,max_hp,gold,damage_taken,hp_healed,gold_gained,gold_lost,gold_spent,cards_gained,cards_removed,cards_transformed,upgraded_cards,relics_picked,potions_picked,event_choices,ancient_chosen,rest_site_choices,turns_taken
1,1,ancient,EVENT.NEOW,event,,56,70,99,0,56,0,0,0,CARD.STRIKE_SILENT|CARD.DEFEND_SILENT,,,,RELIC.LARGE_CAPSULE|RELIC.POTION_BELT|RELIC.PARRYING_SHIELD,,LARGE_CAPSULE.title,<generator object extract.<locals>.<genexpr> at 0x000002366D119560>,,0
1,2,monster,ENCOUNTER.NIBBITS_WEAK,monster,MONSTER.NIBBIT,56,70,110,0,0,11,0,0,CARD.LEADING_STRIKE,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D119970>,,4
1,3,unknown,EVENT.MORPHIC_GROVE,event,,56,70,0,0,0,0,0,0,,,"{'final_card': {'floor_added_to_deck': 3, 'id': 'CARD.WELL_LAID_PLANS'}, 'original_card': {'floor_added_to_deck': 1, 'id': 'CARD.STRIKE_SILENT'}}|{'final_card': {'floor_added_to_deck': 3, 'id': 'CARD.DEFLECT'}, 'original_card': {'floor_added_to_deck': 1, 'id': 'CARD.STRIKE_SILENT'}}",,,,MORPHIC_GROVE.pages.INITIAL.options.GROUP.title,<generator object extract.<locals>.<genexpr> at 0x000002366D119BE0>,,0
1,4,unknown,,shop,,56,70,0,0,0,0,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D119E50>,,0
1,5,unknown,EVENT.AROMA_OF_CHAOS,event,,56,70,0,0,0,0,0,0,,,"{'final_card': {'floor_added_to_deck': 5, 'id': 'CARD.ADRENALINE'}, 'original_card': {'floor_added_to_deck': 1, 'id': 'CARD.STRIKE_SILENT'}}",,,,AROMA_OF_CHAOS.pages.INITIAL.options.LET_GO.title,<generator object extract.<locals>.<genexpr> at 0x000002366D11A0C0>,,0
1,6,monster,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK,monster,MONSTER.FUZZY_WURM_CRAWLER,56,70,15,0,0,15,0,0,CARD.ACCELERANT,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11A330>,,4
1,7,shop,,shop,,56,70,15,0,0,0,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11A5A0>,,0
1,8,rest_site,,rest_site,,56,70,15,0,0,0,0,0,,,,CARD.WELL_LAID_PLANS,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11A810>,SMITH,0
1,9,monster,ENCOUNTER.SLIMES_WEAK,monster,MONSTER.TWIG_SLIME_S|MONSTER.LEAF_SLIME_M|MONSTER.LEAF_SLIME_S,56,70,23,0,0,8,0,0,CARD.MIRAGE,,,,,POTION.POISON_POTION,,<generator object extract.<locals>.<genexpr> at 0x000002366D11AA80>,,4
1,10,treasure,,treasure,,56,70,60,0,0,37,0,0,,,,,RELIC.STURDY_CLAMP,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11ACF0>,,0
1,11,elite,ENCOUNTER.PHROG_PARASITE_ELITE,elite,MONSTER.PHROG_PARASITE|MONSTER.WRIGGLER,38,70,89,18,0,29,0,0,CARD.BOUNCING_FLASK,,,,RELIC.CENTENNIAL_PUZZLE,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11AF60>,,14
1,12,rest_site,,rest_site,,38,70,89,0,0,0,0,0,,,,CARD.ADRENALINE,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11B1D0>,SMITH,0
1,13,monster,ENCOUNTER.OVERGROWTH_CRAWLERS,monster,MONSTER.SHRINKER_BEETLE|MONSTER.FUZZY_WURM_CRAWLER,33,70,104,5,0,15,0,0,CARD.BACKFLIP,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11B440>,,6
1,14,elite,ENCOUNTER.BYRDONIS_ELITE,elite,MONSTER.BYRDONIS,26,70,134,7,0,30,0,0,CARD.DASH,,,,RELIC.JUZU_BRACELET,POTION.COLORLESS_POTION,,<generator object extract.<locals>.<genexpr> at 0x000002366D11B6B0>,,8
1,15,shop,,shop,,26,70,9,0,0,0,0,125,CARD.PHANTOM_BLADES|CARD.DEADLY_POISON,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11B920>,,0
1,16,rest_site,,rest_site,,47,70,9,0,21,0,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D11BB90>,HEAL,0
1,17,boss,ENCOUNTER.THE_KIN_BOSS,boss,MONSTER.KIN_FOLLOWER|MONSTER.KIN_FOLLOWER|MONSTER.KIN_PRIEST,20,75,84,32,5,75,0,0,CARD.FAN_OF_KNIVES,,,,,POTION.FRUIT_JUICE,,<generator object extract.<locals>.<genexpr> at 0x000002366D11BE00>,,14
